Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Islas;Indicadores de renta media;Periodo;Total
Total Nacional;Balears, Illes;Balears, Illes;Mallorca;Índice de Gini;2016;34
Total Nacional;Balears, Illes;Balears, Illes;Mallorca;Índice de Gini;2015;34,2
Total Nacional;Balears, Illes;Balears, Illes;Mallorca;Distribución de la renta P80/P20;2023;2,5
Total Nacional;Balears, Illes;Balears, Illes;Mallorca;Distribución de la renta P80/P20;2022;2,6
Total Nacional;Balears, Illes;Balears, Illes;Mallorca;Distribución de la renta P80/P20;2021;2,6
Total Nacional;Balears, Illes;Balears, Illes;Mallorca;Distribución de la renta P80/P20;2020;2,8
Total Nacional;Balears, Illes;Balears, Illes;Mallorca;Distribución de la renta P80/P20;2019;2,6
Total Nacional;Balears, Illes;Balears, Illes;Mallorca;Distribución de la renta P80/P20;2018;2,6
Total Nacional;Balears, Illes;Balears, Illes;Mallorca;Distribución de la renta P80/P20;2017;2,7
Total Nacional;Balears, Illes;Balears, Illes;Mallorca;Distribución de la renta P80/P20;2016;2,8
Total Nacional;Balears, Illes;Balears, Illes;Mallorca;Distribución de la renta P80/P20;2015;3
Total Nacional;Balears, Illes;Balears, Illes;Menorca;Índice de Gini;2023;29,1
Total Nacional;Balears, Illes;Balears, Illes;Menorca;Índice de Gini;2022;29,2
Total Nacional;Balears, Illes;Balears, Illes;Menorca;Índice de Gini;2021;29,7
Total Nacional;Balears, Illes;Balears, Illes;Menorca;Índice de Gini;2020;31,1
Total Nacional;Balears, Illes;Balears, Illes;Menorca;Índice de Gini;2019;29,4
Total Nacional;Balears, Illes;Balears, Illes;Menorca;Índice de Gini;2018;29,8
